"YEAR","GEO","DGUID","Type of unit","UOM","COORDINATE","VALUE"
"2018","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.3.4",
"2019","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.3.4",
"2020","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.3.4",
"2021","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.3.4",
"2011","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2012","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2013","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2014","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2015","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2016","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2017","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2018","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2019","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2020","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2021","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.2.2",
"2011","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2012","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2013","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2014","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2015","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2016","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2017","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2018","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2019","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2020","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2021","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.2.3",
"2011","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2012","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2013","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2014","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2015","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2016","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2017","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2018","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2019","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2020","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2021","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.2.4",
"2011","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2012","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2013","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2014","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2015","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2016","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2017","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2018","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2019","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2020","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2021","Chester, Nova Scotia","2011A00051206009","One bedroom units","Dollars","208.1.2",
"2011","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2012","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2013","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2014","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2015","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2016","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2017","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2018","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2019","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2020","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2021","Chester, Nova Scotia","2011A00051206009","Two bedroom units","Dollars","208.1.3",
"2011","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2012","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2013","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2014","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2015","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2016","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2017","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2018","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2019","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2020","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2021","Chester, Nova Scotia","2011A00051206009","Three bedroom units","Dollars","208.1.4",
"2011","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","567"
"2012","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","537"
"2013","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","554"
"2014","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","635"
"2015","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","650"
"2016","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","675"
"2017","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","680"
"2018","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","676"
"2019","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","729"
"2020","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","760"
"2021","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.3.2","835"
"2011","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","788"
"2012","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","767"
"2013","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","784"
"2014","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","831"
"2015","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","840"
"2016","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","911"
"2017","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","877"
"2018","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","945"
"2019","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","1004"
"2020","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","1046"
"2021","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.3.3","1128"
"2011","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","701"
"2012","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","754"
"2013","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","743"
"2014","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","739"
"2015","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","847"
"2016","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","884"
"2017","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","884"
"2018","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","901"
"2019","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4","887"
"2020","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4",
"2021","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.3.4",
"2011","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2012","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2013","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2014","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2015","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2016","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2017","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2018","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2019","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2020","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2021","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.2.2",
"2011","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3",
"2012","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3",
"2013","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","875"
"2014","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","1000"
"2015","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","874"
"2016","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","928"
"2017","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","965"
"2018","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","1063"
"2019","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","1112"
"2020","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","1227"
"2021","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.2.3","1307"
"2011","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2012","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2013","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2014","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2015","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2016","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2017","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2018","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2019","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2020","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2021","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.2.4",
"2011","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","567"
"2012","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","537"
"2013","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","554"
"2014","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","635"
"2015","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","650"
"2016","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","675"
"2017","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","680"
"2018","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","676"
"2019","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","729"
"2020","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","745"
"2021","East Hants, Nova Scotia","2011A00051208008","One bedroom units","Dollars","209.1.2","819"
"2011","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","784"
"2012","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","762"
"2013","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","776"
"2014","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","817"
"2015","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","836"
"2016","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","909"
"2017","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","867"
"2018","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","928"
"2019","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","980"
"2020","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","1015"
"2021","East Hants, Nova Scotia","2011A00051208008","Two bedroom units","Dollars","209.1.3","1089"
"2011","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","701"
"2012","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","754"
"2013","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","743"
"2014","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","739"
"2015","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","847"
"2016","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","884"
"2017","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","884"
"2018","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","901"
"2019","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4","887"
"2020","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4",
"2021","East Hants, Nova Scotia","2011A00051208008","Three bedroom units","Dollars","209.1.4",
"2011","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","752"
"2012","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","773"
"2013","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","784"
"2014","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","800"
"2015","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","833"
"2016","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","846"
"2017","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","881"
"2018","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","904"
"2019","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","960"
"2020","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","1015"
"2021","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.3.2","1085"
"2011","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","925"
"2012","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","953"
"2013","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","976"
"2014","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1005"
"2015","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1048"
"2016","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1063"
"2017","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1109"
"2018","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1156"
"2019","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1202"
"2020","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1254"
"2021","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.3.3","1334"
"2011","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1179"
"2012","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1186"
"2013","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1235"
"2014","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1270"
"2015","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1292"
"2016","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1290"
"2017","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1320"
"2018","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1362"
"2019","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1393"
"2020","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1458"
"2021","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.3.4","1569"
"2011","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","688"
"2012","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","727"
"2013","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","698"
"2014","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","666"
"2015","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","872"
"2016","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","1028"
"2017","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","814"
"2018","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","893"
"2019","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","1003"
"2020","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2","896"
"2021","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.2.2",
"2011","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","869"
"2012","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","895"
"2013","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1039"
"2014","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","945"
"2015","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1061"
"2016","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1090"
"2017","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1091"
"2018","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1200"
"2019","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1216"
"2020","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1204"
"2021","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.2.3","1075"
"2011","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1141"
"2012","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1118"
"2013","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1210"
"2014","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1310"
"2015","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1256"
"2016","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1320"
"2017","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1444"
"2018","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1447"
"2019","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1428"
"2020","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1501"
"2021","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.2.4","1622"
"2011","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","753"
"2012","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","773"
"2013","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","785"
"2014","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","800"
"2015","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","833"
"2016","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","845"
"2017","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","881"
"2018","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","904"
"2019","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","959"
"2020","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","1016"
"2021","Halifax, Nova Scotia","2011S0503205","One bedroom units","Dollars","10.1.2","1084"
"2011","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","925"
"2012","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","954"
"2013","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","976"
"2014","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1005"
"2015","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1048"
"2016","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1063"
"2017","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1109"
"2018","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1156"
"2019","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1202"
"2020","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1255"
"2021","Halifax, Nova Scotia","2011S0503205","Two bedroom units","Dollars","10.1.3","1335"
"2011","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1182"
"2012","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1191"
"2013","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1237"
"2014","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1267"
"2015","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1295"
"2016","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1288"
"2017","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1307"
"2018","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1355"
"2019","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1390"
"2020","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1454"
"2021","Halifax, Nova Scotia","2011S0503205","Three bedroom units","Dollars","10.1.4","1564"
"2011","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2012","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2013","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2014","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2015","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2016","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2017","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2018","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2019","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2020","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2021","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.3.2",
"2011","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2012","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2013","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2014","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2015","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2016","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2017","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2018","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2019","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2020","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2021","Lunenburg, Nova Scotia","2011A00051206001","Two bedroom units","Dollars","210.3.3",
"2011","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2012","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2013","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2014","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2015","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2016","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2017","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2018","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2019","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2020","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2021","Lunenburg, Nova Scotia","2011A00051206001","Three bedroom units","Dollars","210.3.4",
"2011","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.2.2",
"2012","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.2.2",
"2013","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.2.2",
"2014","Lunenburg, Nova Scotia","2011A00051206001","One bedroom units","Dollars","210.2.2",
