Sl. No.,Transaction Name,Organization Industry,Organization Location,Funding Type,Money Raised,Announced Date,Announced Year,Funding Status,Total Funding Amount
53,Seed Round - SingleKey,"Real Estate, Rental","Toronto, Ontario, Canada, North America",Seed,1500000,2021-11-01,2021,Seed,1500000
54,Pre Seed Round - AgentGo.io,"Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,50000,2022-05-08,2022,Seed,50000
55,Series A - Spark CRM,"CRM, Marketing, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Series A,6200000,2021-07-28,2021,Early Stage Venture,6101978
56,Seed Round - RealSage,Real Estate,"Toronto, Ontario, Canada, North America",Seed,,2022-02-17,2022,Seed,1600000
57,Pre Seed Round - Hangeh Labs,"Communities, Product Design, Property Management, Real Estate","Vancouver, British Columbia, Canada, North America",Pre-Seed,100000,2021-12-01,2021,Seed,100000
58,Post-IPO Equity - Sienna Senior Living,"Communities, Health Care, Real Estate","Markham, Ontario, Canada, North America",Post-IPO Equity,75000000,2022-02-28,2022,,75000000
59,Private Equity Round - RIFO Holding Group,"Apps, Data Integration, Financial Services, FinTech, Home Services, Market Research, Real Estate, Smart Home, Transaction Processing","Markham, Ontario, Canada, North America",Private Equity,10500000,2020-12-15,2020,Private Equity,11500000
60,Venture Round - DIRTT Environmental Solutions,"Architecture, Construction, Green Building, Infrastructure, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2013-06-26,2013,,126083459
61,Pre Seed Round - Quality Connect,"Construction, Professional Services, Project Management, Real Estate","Edmonton, Alberta, Canada, North America",Pre-Seed,,2018-02-01,2018,Seed,
62,Venture Round - Gabbi.Ai,"Artificial Intelligence, Real Estate, SaaS, Software","Edmonton, Alberta, Canada, North America",Venture - Series Unknown,,2016-07-01,2016,,
63,Angel Round - Local Logic,"Analytics, Artificial Intelligence, Big Data, Commercial Real Estate, Information Services, Information Technology, Predictive Analytics, Real Estate, Real Estate Investment, Sustainability","Montréal, Quebec, Canada, North America",Angel,100000,2016-05-24,2016,Seed,9325000
64,Angel Round - STAN A.I.,"Artificial Intelligence, Mobile Apps, Property Management, Real Estate, Software","Toronto, Ontario, Canada, North America",Angel,500000,2021-03-09,2021,Seed,515000
65,Non Equity Assistance - Relogix,"Analytics, Business Intelligence, Information Services, Information Technology, Real Estate, SaaS, Software","Ottawa, Ontario, Canada, North America",Non-equity Assistance,,2019-01-30,2019,,6400000
66,Non Equity Assistance - FundMore.ai,"Artificial Intelligence, Blockchain, Financial Services, FinTech, Machine Learning, Real Estate, Software","Ottawa, Ontario, Canada, North America",Non-equity Assistance,,2021-08-05,2021,,
67,Angel Round - HH Homes Realty Brokerage,Real Estate,"Mississauga, Ontario, Canada, North America",Angel,8305,2021-07-10,2021,Seed,8305
68,Seed Round - Unreserved,"Property Management, Real Estate","Nepean, Ontario, Canada, North America",Seed,33850000,2022-01-13,2022,Seed,37064757
69,Seed Round - Alvéole,"CleanTech, Environmental Consulting, Green Building, Real Estate, Software","Montréal, Quebec, Canada, North America",Seed,150000,2016-04-01,2016,Seed,9250000
70,Post-IPO Equity - Tricon Residential,"Property Management, Real Estate, Rental, Venture Capital","Toronto, Ontario, Canada, North America",Post-IPO Equity,201200000,2017-02-27,2017,,672221396
71,Series B - Nesto,"Financial Services, FinTech, Real Estate","Montreal, Quebec, Canada, North America",Series B,76000000,2021-06-10,2021,Early Stage Venture,151354383
72,Post-IPO Debt - Home Capital Group,"Banking, Building Material, Financial Services, Real Estate, Residential","Toronto, Ontario, Canada, North America",Post-IPO Debt,500000000,2018-06-29,2018,,500000000
73,Venture Round - letus (previously RentMoola),"Credit Cards, FinTech, Mobile Payments, Payments, Property Management, Real Estate","Vancouver, British Columbia, Canada, North America",Venture - Series Unknown,,2018-01-01,2018,,10000000
74,Pre Seed Round - SingleKey,"Real Estate, Rental","Toronto, Ontario, Canada, North America",Pre-Seed,,2019-03-15,2019,Seed,1500000
75,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,31358000,2011-11-16,2011,,170915255
76,Venture Round - Résidence des Bâtisseurs,"Nursing and Residential Care, Real Estate, Residential, Social Assistance","Quebec, Quebec, Canada, North America",Venture - Series Unknown,,2010-01-01,2010,,
77,Venture Round - Exposio,"Photography, Real Estate, Service Industry","Saint-augustin, Quebec, Canada, North America",Venture - Series Unknown,,2019-05-30,2019,,
78,Convertible Note - Hausvalet,"Apps, Information Technology, Property Management, Real Estate, Virtual Reality","Longueuil, Quebec, Canada, North America",Convertible Note,850000,2020-08-01,2020,,3633787
79,Post-IPO Equity - True North Apartment REIT,"Real Estate, Venture Capital","Mississauga, Ontario, Canada, North America",Post-IPO Equity,300000,2015-07-29,2015,,294752000
80,Venture Round - Nobul Technologies,"Apps, Blockchain, Marketplace, Real Estate, Web Apps","Toronto, Ontario, Canada, North America",Venture - Series Unknown,10000000,2018-08-08,2018,,50000000
81,Venture Round - Hausway,"Internet, Real Estate, Rental","Vancouver, British Columbia, Canada, North America",Venture - Series Unknown,,2019-01-01,2019,,
82,Venture Round - Yaldi Renting,"Real Estate, Real Estate Investment, Rental Property","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2019-10-01,2019,,
83,Seed Round - VEERUM,"Enterprise Software, Information Technology, Internet of Things, Project Management, Real Estate, SaaS, Software","Calgary, Alberta, Canada, North America",Seed,,2018-08-01,2018,Seed,16431871
84,Post-IPO Equity - Pure Multi-Family REIT LP,"Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,92053590,2017-04-07,2017,,92404492
85,Venture Round - DIRTT Environmental Solutions,"Architecture, Construction, Green Building, Infrastructure, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,25000000,2008-04-21,2008,,126083459
86,Venture Round - MasterGrain,"Manufacturing, Real Estate","Concord, Ontario, Canada, North America",Venture - Series Unknown,,2011-01-01,2011,,
87,Seed Round - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Seed,750000,2009-07-01,2009,Seed,29668690
88,Equity Crowdfunding - RadiusIQ Inc,Real Estate,"Calgary, Alberta, Canada, North America",Equity Crowdfunding,,2010-10-20,2010,,
89,Post-IPO Equity - PROREIT,"Real Estate, Real Estate Investment","Montréal, Quebec, Canada, North America",Post-IPO Equity,40286800,2018-09-28,2018,,188471425
90,Grant - SOPREMA,"Building Maintenance, Building Material, Civil Engineering, Consumer Electronics, Industrial Engineering, Manufacturing, Parking, Real Estate","Ottawa, Ontario, Canada, North America",Grant,3716521,2018-06-07,2018,,3716521
91,Seed Round - Retsly,"Information Technology, Property Management, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Seed,350000,2014-03-30,2014,Seed,541566
92,Seed Round - Point Grey Technologies Inc.,"Hospitality, Power Grid, Real Estate, Rental, Software","Vancouver, British Columbia, Canada, North America",Seed,250000,2017-02-25,2017,Seed,250000
93,Post-IPO Equity - Genesis Land Development Corp,"Property Management, Real Estate","Calgary, Alberta, Canada, North America",Post-IPO Equity,,2020-11-30,2020,,
94,Debt Financing - letus (previously RentMoola),"Credit Cards, FinTech, Mobile Payments, Payments, Property Management, Real Estate","Vancouver, British Columbia, Canada, North America",Debt Financing,,2021-01-08,2021,,10000000
95,Series A - Fraction,"Financial Services, FinTech, Lending, Real Estate","Vancouver, British Columbia, Canada, North America",Series A,20000000,2021-10-20,2021,Early Stage Venture,309200000
96,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,3281040,2015-12-30,2015,,145006567
97,Venture Round - Nobul Technologies,"Apps, Blockchain, Marketplace, Real Estate, Web Apps","Toronto, Ontario, Canada, North America",Venture - Series Unknown,40000000,2021-08-30,2021,,50000000
98,Convertible Note - Roof AI,Real Estate,"Montréal, Quebec, Canada, North America",Convertible Note,150000,2017-08-22,2017,,350000
99,Series A - VBS,"Asset Management, Enterprise Software, Real Estate, Software","Saint-hubert, Quebec, Canada, North America",Series A,360000,2014-01-01,2014,Early Stage Venture,360000
100,Venture Round - Viromo,"Real Estate, Smart Building, Software, Virtualization","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2017-01-01,2017,,
101,Equity Crowdfunding - ONE Development,"Construction, Property Development, Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Equity Crowdfunding,150000,2021-05-04,2021,,150000
102,Venture Round - Envio Systems,"Cloud Management, Energy, Energy Efficiency, Energy Management, Information Technology, Predictive Analytics, Real Estate, SaaS, Smart Building, Software","Calgary, Alberta, Canada, North America",Venture - Series Unknown,5000000,2019-12-26,2019,,6216736
103,Equity Crowdfunding - Hi-Lo Lodge,Real Estate,"Hastings, Ontario, Canada, North America",Equity Crowdfunding,,2010-11-22,2010,,
104,Post-IPO Equity - NexLiving Communities,"Consulting, Real Estate, Residential","Halifax, Nova Scotia, Canada, North America",Post-IPO Equity,3450000,2021-12-01,2021,,3450000
